  PLAYER TEAM AGE GP W L MIN OFFRTG DEFRTG NETRTG AST% AST/TO AST RATIO OREB% DREB% REB% TO RATIO EFG% TS% USG% PACE PIE POSS
122 Jaden Hardy DAL 21 60 34 26 14.0 109.3 114.5 -5.2 17.0 2.00 16.0 1.7 10.5 6.0 8.0 49.5 51.9 23.6 103.56 8.4 1810
122 Jalen Williams OKC 22 60 42 18 31.7 118.0 109.9 8.1 19.9 2.63 20.9 1.7 10.4 6.3 7.9 59.3 62.4 22.9 102.93 12.1 4063
122 James Harden LAC 34 60 38 22 34.7 121.1 114.6 6.5 32.7 3.16 34.2 1.5 13.2 7.6 10.8 55.9 62.9 20.3 97.16 13.2 4217
122 Jaylen Brown BOS 27 60 46 14 33.4 120.9 111.2 9.8 17.2 1.63 14.5 3.6 11.9 8.0 8.9 56.0 58.3 28.2 100.37 11.8 4188
122 Julian Champagnie SAS 22 60 12 48 17.6 110.3 115.4 -5.2 9.3 1.92 17.4 3.1 11.5 7.2 9.1 52.7 56.2 13.9 103.04 6.7 2271
122 Karl-Anthony Towns MIN 28 60 41 19 32.8 116.5 108.5 8.0 14.3 1.06 12.8 5.0 20.5 13.2 12.1 57.8 62.8 26.9 98.41 14.2 4045
122 Keyonte George UTA 20 60 25 35 26.0 110.8 118.5 -7.7 25.0 2.04 24.3 0.9 9.6 5.3 11.9 49.8 54.7 21.8 101.35 8.8 3300
122 Max Strus CLE 27 60 39 21 32.2 114.4 107.8 6.6 15.8 2.53 23.2 2.7 11.3 7.1 9.2 52.5 54.4 16.7 99.98 7.9 4021
122 P.J. Washington DAL 25 60 19 41 29.9 112.6 118.1 -5.5 9.1 1.42 12.9 3.8 14.3 8.9 9.1 51.2 53.3 18.9 100.72 7.6 3759
122 Precious Achiuwa NYK 24 60 31 29 23.0 112.6 111.3 1.4 9.0 1.20 13.9 10.9 17.5 14.1 11.6 52.9 54.5 16.2 96.08 9.6 2760
122 Scottie Barnes TOR 22 60 22 38 34.9 112.6 115.8 -3.2 25.3 2.20 23.1 6.4 16.7 11.5 10.5 52.8 56.6 24.0 101.17 13.2 4413
