IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
298, Evan Mobley , CLE, 22, 47, 27, 20, 30.8, 2.1, 2.8, 1.4, 11.8, 11.1, 9.0, 9.2, 29.4, 1.4, 0.7, 2.7, 2.8
298, Jae Crowder , MIL, 33, 47, 24, 23, 22.9, 0.9, 0.9, 0.6, 1.7, 6.5, 5.5, 7.1, 24.9, 0.2, 0.1, 1.5, 0.7
298, Jalen McDaniels , TOR, 26, 47, 12, 35, 10.3, 0.6, 0.4, 0.5, 2.0, 4.5, 3.7, 3.6, 11.5, 0.1, 0.3, 1.0, 0.5
298, Johnny Davis , WAS, 22, 47, 8, 39, 11.5, 0.5, 0.4, 0.7, 1.7, 3.5, 3.6, 3.2, 13.2, 0.2, 0.2, 1.0, 0.4
298, Julian Strawther , DEN, 21, 47, 31, 16, 11.5, 0.6, 0.4, 1.0, 1.6, 4.6, 3.4, 3.3, 11.8, 0.1, 0.2, 1.1, 0.8
306, Anfernee Simons , POR, 24, 46, 11, 35, 34.4, 3.1, 1.0, 3.0, 7.0, 14.0, 9.8, 12.1, 39.2, 0.1, 1.1, 2.1, 2.8
306, Isaiah Stewart , DET, 22, 46, 9, 37, 30.9, 1.2, 2.2, 0.6, 5.0, 12.7, 8.7, 8.2, 34.3, 0.8, 0.4, 2.2, 1.8
306, Jaden Springer , BOS, 21, 46, 30, 16, 9.8, 0.6, 0.7, 0.8, 1.7, 2.5, 2.8, 2.8, 10.6, 0.3, 0.3, 1.3, 0.7
306, Julius Randle , NYK, 29, 46, 29, 17, 35.4, 3.0, 4.0, 3.0, 12.2, 11.7, 8.8, 11.7, 35.7, 0.3, 1.4, 2.7, 4.8
306, Landry Shamet , WAS, 27, 46, 6, 40, 15.8, 1.0, 0.6, 1.0, 2.0, 5.2, 4.7, 4.6, 19.4, 0.2, 0.5, 1.7, 1.0
306, MarJon Beauchamp , MIL, 23, 46, 30, 16, 12.9, 0.8, 0.6, 0.8, 1.7, 4.5, 4.4, 3.6, 13.8, 0.1, 0.3, 1.2, 0.4
306, OG Anunoby , NYK, 26, 46, 27, 19, 34.0, 2.6, 1.3, 3.3, 6.3, 10.8, 9.4, 9.7, 34.6, 0.7, 0.8, 2.3, 1.6
313, JaVale McGee , SAC, 36, 45, 27, 18, 7.4, 0.7, 0.8, 0.2, 3.2, 3.3, 2.0, 2.2, 7.3, 0.4, 0.1, 1.0, 0.8
314, Alex Len , SAC, 30, 44, 23, 21, 9.2, 0.2, 0.7, 0.1, 2.1, 2.4, 1.9, 1.8, 7.5, 0.7, 0.2, 1.3, 0.5
314, Chuma Okeke , ORL, 25, 44, 23, 21, 9.6, 0.4, 0.3, 0.4, 0.7, 4.0, 2.1, 2.8, 10.0, 0.2, 0.0, 0.4, 0.1
314, Delon Wright , MIA, 31, 44, 13, 31, 15.3, 1.1, 0.3, 0.6, 1.9, 5.4, 4.5, 4.1, 16.3, 0.2, 0.3, 0.7, 0.9
314, GG Jackson , MEM, 19, 44, 14, 30, 24.7, 2.4, 1.7, 1.6, 4.9, 10.6, 7.5, 8.8, 25.9, 0.5, 0.7, 1.3, 2.0
314, Jericho Sims , NYK, 25, 44, 29, 15, 12.8, 0.2, 0.6, 0.0, 1.7, 4.3, 3.5, 2.9, 12.0, 0.4, 0.0, 1.0, 0.5
314, Omer Yurtseven , UTA, 25, 44, 15, 29, 10.1, 0.5, 1.4, 0.1, 3.3, 3.9, 2.3, 3.8, 11.5, 0.4, 0.2, 1.1, 0.7
314, Seth Curry , CHA, 33, 44, 25, 19, 14.0, 0.8, 0.9, 0.5, 1.0, 4.8, 4.3, 4.4, 14.2, 0.1, 0.2, 0.9, 0.6
321, Cam Whitmore , HOU, 19, 43, 16, 27, 18.3, 2.1, 1.7, 2.7, 5.3, 5.8, 4.9, 5.2, 18.6, 0.3, 0.7, 1.3, 1.6
321, Gary Payton II , GSW, 31, 43, 26, 17, 15.5, 1.2, 1.0, 0.9, 3.8, 5.4, 3.7, 4.5, 15.2, 0.4, 0.3, 1.7, 0.6
321, Ish Smith , CHA, 35, 43, 6, 37, 17.2, 0.5, 0.2, 0.4, 2.0, 6.5, 4.3, 4.9, 19.5, 0.1, 0.2, 1.1, 0.3
321, Josh Richardson , MIA, 30, 43, 24, 19, 25.6, 1.4, 0.7, 1.2, 3.3, 8.9, 7.3, 6.1, 25.9, 0.3, 0.2, 1.8, 1.2
321, Patrick Williams , CHI, 22, 43, 19, 24, 27.3, 1.6, 1.3, 1.1, 3.5, 8.9, 7.3, 8.4, 26.5, 0.8, 0.7, 2.0, 1.2
326, Desmond Bane , MEM, 25, 42, 14, 28, 34.4, 4.1, 2.4, 3.9, 8.6, 13.5, 9.9, 10.9, 32.3, 0.5, 1.5, 2.9, 3.0
326, Killian Hayes , DET, 22, 42, 7, 35, 24.0, 1.0, 0.4, 0.7, 2.9, 9.8, 7.2, 6.8, 28.3, 0.5, 0.3, 1.8, 1.3
326, Mason Plumlee , LAC, 34, 42, 28, 14, 14.1, 0.6, 1.0, 0.2, 3.8, 4.9, 4.4, 5.2, 16.0, 0.4, 0.3, 1.5, 1.8
326, Nassir Little , PHX, 24, 42, 26, 16, 10.7, 0.7, 0.1, 0.9, 1.5, 3.8, 3.5, 3.0, 11.5, 0.2, 0.1, 0.9, 0.4
326, Nikola Jovic , MIA, 20, 42, 21, 21, 18.8, 1.2, 0.2, 0.8, 2.3, 5.8, 5.1, 4.3, 18.7, 0.3, 0.2, 1.8, 1.2
326, Sandro Mamukelashvili , SAS, 24, 42, 9, 33, 8.2, 0.5, 0.6, 0.5, 1.9, 2.8, 2.5, 1.6, 7.5, 0.2, 0.2, 0.7, 0.5
332, Bruno Fernando , ATL, 25, 41, 20, 21, 14.5, 0.6, 1.3, 0.1, 4.6, 5.5, 4.1, 4.4, 14.1, 0.7, 0.5, 2.3, 1.5
333, Bol Bol , PHX, 24, 40, 26, 14, 11.3, 0.6, 1.1, 0.7, 3.0, 4.3, 3.3, 4.1, 10.1, 0.6, 0.1, 1.0, 0.3
333, Cody Zeller , NOP, 31, 40, 24, 16, 7.6, 0.2, 0.8, 0.2, 1.2, 2.4, 2.3, 2.1, 7.6, 0.1, 0.3, 1.1, 0.9
333, Davis Bertans , CHA, 31, 40, 19, 21, 15.3, 1.4, 0.7, 0.7, 0.5, 5.5, 4.0, 3.8, 15.1, 0.3, 0.2, 1.3, 0.6
333, Eugene Omoruyi , WAS, 27, 40, 5, 35, 8.6, 1.3, 0.9, 0.9, 2.9, 4.2, 2.7, 3.0, 9.4, 0.1, 0.3, 1.5, 1.1
333, Jalen Wilson , BKN, 23, 40, 13, 27, 14.5, 0.7, 1.0, 0.5, 2.0, 5.0, 3.7, 4.9, 14.7, 0.1, 0.3, 1.0, 0.8
333, Julian Phillips , CHI, 20, 40, 20, 20, 8.1, 0.3, 0.4, 0.4, 0.9, 2.1, 2.3, 2.4, 8.2, 0.2, 0.2, 1.0, 0.5
333, Kobe Brown , LAC, 24, 40, 26, 14, 7.7, 0.3, 0.2, 0.3, 0.8, 3.2, 2.6, 2.6, 8.8, 0.1, 0.1, 1.1, 0.1
333, Maxi Kleber , DAL, 32, 40, 25, 15, 20.5, 0.6, 0.6, 0.0, 1.2, 6.8, 5.4, 6.1, 20.9, 0.7, 0.1, 1.9, 1.3
333, Reggie Bullock Jr. , HOU, 33, 40, 21, 19, 9.7, 0.1, 0.3, 0.2, 0.3, 3.1, 2.9, 3.2, 10.7, 0.1, 0.1, 0.7, 0.1
333, Richaun Holmes , WAS, 30, 40, 13, 27, 13.9, 0.5, 1.6, 0.5, 4.0, 5.2, 3.9, 4.6, 15.3, 0.5, 0.5, 1.9, 0.9
333, Sasha Vezenkov , SAC, 28, 40, 21, 19, 12.2, 0.5, 0.9, 0.4, 1.9, 4.6, 3.1, 3.4, 12.4, 0.2, 0.2, 1.0, 0.4
344, Jacob Gilyard , BKN, 25, 39, 12, 27, 17.1, 0.7, 0.6, 0.4, 0.2, 5.9, 5.3, 4.5, 17.9, 0.1, 0.1, 0.9, 0.4
344, Luka Samanic , UTA, 24, 39, 13, 26, 7.2, 0.2, 0.3, 0.3, 1.3, 2.7, 1.8, 2.4, 7.2, 0.2, 0.2, 0.7, 0.6
344, Luke Kennard , MEM, 27, 39, 15, 24, 25.6, 2.0, 1.1, 1.5, 1.1, 9.9, 8.1, 9.0, 27.3, 0.1, 0.3, 1.0, 0.8
344, Malcolm Brogdon , POR, 31, 39, 15, 24, 28.7, 1.9, 1.4, 1.5, 5.2, 11.0, 8.8, 9.1, 33.4, 0.2, 0.7, 1.5, 2.4
344, Markelle Fultz , ORL, 25, 39, 24, 15, 21.4, 1.5, 1.0, 1.2, 6.0, 6.9, 5.7, 6.7, 21.4, 0.3, 0.6, 1.6, 1.0
349, A.J. Lawson , DAL, 23, 38, 25, 13, 6.8, 0.7, 0.6, 1.0, 1.7, 2.2, 2.1, 2.8, 7.5, 0.1, 0.2, 0.5, 0.3
349, Bismack Biyombo , OKC, 31, 38, 18, 20, 20.0, 0.8, 1.1, 0.3, 3.6, 7.7, 5.5, 5.9, 19.4, 0.9, 0.3, 2.3, 1.2
349, Tyler Herro , MIA, 24, 38, 20, 18, 33.3, 2.6, 1.4, 3.0, 6.6, 11.5, 9.9, 10.3, 35.6, 0.1, 1.1, 1.4, 1.9
352, Damian Jones , CLE, 28, 37, 23, 14, 6.9, 0.5, 0.4, 0.3, 2.0, 3.0, 1.7, 2.3, 5.6, 0.4, 0.1, 0.7, 0.5
352, Jared Butler , WAS, 23, 37, 6, 31, 13.1, 0.9, 0.2, 1.1, 3.0, 4.6, 3.8, 2.5, 12.2, 0.2, 0.2, 1.3, 1.0
352, Joel Embiid , PHI, 30, 37, 29, 8, 33.6, 3.2, 4.2, 2.1, 14.1, 10.4, 9.4, 10.9, 35.1, 1.7, 1.4, 2.9, 7.6
352, Lamar Stevens , MEM, 26, 37, 22, 15, 14.1, 1.0, 1.0, 1.1, 4.4, 5.6, 4.2, 4.1, 12.5, 0.5, 0.5, 1.2, 1.0
352, Svi Mykhailiuk , BOS, 26, 37, 30, 7, 8.7, 0.4, 0.3, 0.6, 0.5, 3.1, 2.1, 2.4, 8.7, 0.0, 0.1, 0.4, 0.2
352, Thomas Bryant , MIA, 26, 37, 21, 16, 11.3, 0.9, 1.3, 0.6, 3.8, 4.1, 2.9, 3.2, 12.3, 0.4, 0.2, 1.2, 0.8
352, Tre Mann , CHA, 23, 37, 19, 18, 23.3, 1.0, 0.5, 0.8, 4.3, 7.5, 7.1, 6.4, 24.1, 0.1, 0.4, 1.2, 1.7
359, De'Anthony Melton , PHI, 25, 36, 23, 13, 27.8, 1.6, 1.5, 2.3, 3.0, 8.4, 7.1, 8.6, 30.9, 0.4, 0.6, 2.3, 1.6
359, DeAndre Jordan , DEN, 35, 36, 24, 12, 11.0, 0.2, 1.1, 0.1, 3.2, 4.5, 3.4, 3.5, 10.7, 0.4, 0.3, 1.6, 1.3
359, Olivier-Maxence Prosper , DAL, 21, 36, 22, 14, 7.3, 0.3, 0.3, 0.6, 0.9, 2.2, 2.3, 2.9, 8.1, 0.1, 0.1, 0.5, 0.6
359, Skylar Mays , LAL, 26, 36, 13, 23, 11.9, 0.6, 0.8, 0.3, 2.1, 4.4, 3.3, 5.0, 13.8, 0.1, 0.3, 0.7, 0.5
359, Taylor Hendricks , UTA, 20, 36, 11, 25, 20.9, 0.9, 1.5, 1.0, 2.6, 8.9, 6.2, 8.6, 22.3, 0.8, 0.3, 2.0, 0.5
359, Trent Forrest , ATL, 25, 36, 18, 18, 10.8, 0.6, 0.2, 0.3, 1.5, 3.6, 2.9, 3.7, 12.1, 0.1, 0.1, 0.7, 0.4
365, Furkan Korkmaz , PHI, 26, 35, 22, 13, 8.6, 0.9, 0.3, 0.4, 0.9, 2.7, 2.7, 2.6, 9.5, 0.1, 0.1, 0.5, 0.5
365, Jeremiah Robinson-Earl , NOP, 23, 35, 19, 16, 9.2, 0.5, 0.6, 0.5, 1.4, 4.1, 3.0, 2.6, 10.2, 0.1, 0.1, 0.7, 0.4
365, Lester Quinones , GSW, 23, 35, 22, 13, 10.7, 0.5, 0.6, 0.6, 1.0, 3.8, 2.3, 3.7, 11.6, 0.1, 0.2, 1.2, 0.9
365, Lindy Waters III , OKC, 26, 35, 22, 13, 7.1, 0.5, 0.3, 0.6, 0.5, 2.2, 2.1, 2.5, 6.2, 0.2, 0.0, 0.6, 0.1
365, Patrick Baldwin Jr. , WAS, 21, 35, 6, 29, 10.9, 0.5, 0.6, 0.5, 1.1, 3.9, 2.8, 3.4, 10.8, 0.4, 0.1, 1.3, 0.6
365, Rayan Rupert , POR, 19, 35, 7, 28, 14.4, 0.4, 0.3, 0.7, 1.3, 5.7, 3.7, 4.7, 14.9, 0.1, 0.5, 1.5, 0.5
365, Wesley Matthews , ATL, 37, 35, 11, 24, 11.7, 0.3, 0.6, 0.5, 0.5, 3.3, 3.7, 4.1, 11.8, 0.3, 0.2, 1.2, 0.5
372, Bones Hyland , LAC, 23, 34, 19, 15, 13.2, 0.9, 0.4, 0.7, 1.9, 5.3, 4.2, 4.7, 14.2, 0.1, 0.5, 1.3, 0.9
372, Danuel House Jr. , PHI, 30, 34, 21, 13, 15.0, 0.9, 0.7, 1.4, 1.7, 4.2, 4.2, 6.1, 15.1, 0.1, 0.2, 1.3, 1.1
372, Yuta Watanabe , MEM, 29, 34, 18, 16, 13.7, 0.8, 0.4, 0.7, 0.8, 5.1, 4.6, 3.5, 13.9, 0.2, 0.2, 1.1, 0.4
375, Dominick Barlow , SAS, 20, 33, 7, 26, 12.7, 0.4, 0.9, 0.2, 2.7, 3.3, 4.5, 3.4, 15.3, 0.4, 0.2, 1.4, 0.9
375, Orlando Robinson , MIA, 23, 33, 18, 15, 9.1, 0.6, 0.5, 0.1, 1.7, 3.5, 2.8, 2.2, 8.2, 0.2, 0.2, 1.1, 0.8
377, Jake LaRavia , MEM, 22, 32, 8, 24, 21.3, 1.2, 1.6, 1.0, 3.1, 9.5, 6.8, 6.8, 19.8, 0.3, 0.7, 1.9, 1.9
377, Maxwell Lewis , LAL, 21, 32, 17, 15, 3.1, 0.1, 0.0, 0.0, 0.1, 1.6, 1.2, 1.3, 3.4, 0.0, 0.1, 0.1, 0.0
377, Shaedon Sharpe , POR, 20, 32, 8, 24, 33.1, 3.1, 2.1, 2.2, 5.7, 12.2, 10.3, 11.5, 39.2, 0.4, 1.0, 2.8, 3.6
380, Jarace Walker , IND, 20, 31, 16, 15, 10.6, 0.5, 0.3, 0.3, 1.0, 3.8, 3.1, 3.5, 12.4, 0.4, 0.0, 0.9, 0.4
380, Kevin Knox II , DET, 24, 31, 4, 27, 18.1, 1.2, 0.5, 1.8, 3.1, 7.0, 4.2, 5.6, 21.0, 0.2, 0.4, 1.6, 0.7
380, Ousmane Dieng , OKC, 20, 31, 19, 12, 11.0, 1.4, 0.4, 0.7, 1.2, 4.1, 2.9, 2.9, 11.0, 0.1, 0.1, 0.6, 0.5
380, Terry Taylor , CHI, 24, 31, 12, 19, 6.1, 0.1, 0.4, 0.3, 1.2, 1.8, 1.9, 1.5, 4.8, 0.1, 0.1, 0.5, 0.1
384, Justin Minaya , POR, 25, 30, 3, 27, 8.8, 0.3, 0.2, 0.6, 0.5, 3.2, 2.5, 2.5, 7.9, 0.3, 0.1, 0.7, 0.3
384, Patty Mills , MIA, 35, 30, 14, 16, 13.2, 1.0, 0.2, 0.4, 0.7, 3.9, 3.2, 3.0, 13.4, 0.0, 0.1, 1.0, 0.6
384, Thaddeus Young , PHX, 35, 30, 10, 20, 13.7, 0.8, 1.1, 0.4, 4.0, 3.8, 4.7, 3.8, 15.8, 0.2, 0.3, 1.4, 0.4
384, Thanasis Antetokounmpo , MIL, 31, 30, 19, 11, 4.6, 0.1, 0.1, 0.2, 0.9, 2.4, 1.7, 1.6, 3.5, 0.1, 0.1, 0.8, 0.2
388, Jarred Vanderbilt , LAL, 25, 29, 14, 15, 20.0, 1.0, 0.6, 1.3, 3.5, 7.8, 5.9, 7.0, 19.9, 0.2, 0.4, 1.5, 1.4
388, Josh Minott , MIN, 21, 29, 22, 7, 2.9, 0.2, 0.1, 0.3, 0.8, 0.7, 0.8, 0.9, 3.0, 0.2, 0.1, 0.3, 0.3
388, Monte Morris , MIN, 28, 29, 19, 10, 15.1, 0.9, 0.5, 0.9, 1.3, 4.3, 3.0, 5.5, 15.1, 0.2, 0.2, 0.4, 0.6
388, Ricky Council IV , PHI, 22, 29, 12, 17, 9.3, 1.2, 0.9, 1.3, 2.8, 2.6, 2.4, 2.9, 10.1, 0.0, 0.2, 0.5, 1.5
388, Robert Covington , PHI, 33, 29, 20, 9, 16.8, 1.1, 0.8, 0.5, 1.6, 6.1, 5.0, 5.6, 16.0, 0.6, 0.2, 1.9, 0.7
393, Brandon Boston Jr. , LAC, 22, 28, 16, 12, 8.9, 0.7, 0.6, 0.4, 2.0, 3.9, 3.4, 3.2, 11.4, 0.3, 0.3, 1.1, 0.6
393, Brice Sensabaugh , UTA, 20, 28, 6, 22, 17.5, 1.3, 1.1, 1.4, 2.1, 7.8, 4.6, 7.6, 18.9, 0.1, 0.3, 1.3, 0.9
393, Cody Martin , CHA, 28, 28, 7, 21, 26.9, 1.3, 0.7, 1.2, 3.3, 8.6, 7.3, 7.2, 28.6, 0.6, 0.7, 1.7, 1.5
393, Evan Fournier , DET, 31, 28, 7, 21, 17.2, 1.3, 0.6, 0.9, 1.5, 7.2, 4.6, 5.2, 18.4, 0.1, 0.2, 1.5, 0.5
393, P.J. Tucker , LAC, 38, 28, 13, 15, 15.5, 0.1, 0.2, 0.3, 0.2, 5.8, 3.9, 6.8, 16.2, 0.3, 0.1, 1.9, 0.4
398, Colby Jones , SAC, 21, 27, 14, 13, 6.5, 0.0, 0.3, 0.1, 1.6, 2.5, 1.6, 1.6, 5.7, 0.1, 0.1, 0.9, 0.3
398, Kira Lewis Jr. , UTA, 23, 27, 10, 17, 8.8, 0.7, 0.1, 0.7, 1.7, 2.9, 2.5, 2.1, 8.9, 0.1, 0.2, 0.4, 0.6
398, Mitchell Robinson , NYK, 26, 27, 15, 12, 26.0, 0.9, 2.7, 0.1, 4.9, 8.8, 6.2, 8.5, 25.5, 1.2, 0.5, 1.9, 1.9
401, Cory Joseph , GSW, 32, 26, 10, 16, 11.4, 0.4, 0.2, 0.3, 0.5, 3.9, 2.8, 3.2, 11.7, 0.1, 0.1, 1.0, 0.3
401, Jontay Porter , TOR, 24, 26, 6, 20, 13.8, 0.5, 0.9, 0.2, 1.5, 5.1, 3.3, 3.8, 16.5, 0.8, 0.1, 1.3, 0.4
401, Matt Ryan , NOP, 26, 26, 13, 13, 14.8, 0.7, 1.2, 0.8, 0.4, 6.0, 5.0, 4.3, 16.0, 0.0, 0.0, 1.2, 0.7
401, Neemias Queta , BOS, 24, 26, 22, 4, 11.4, 0.5, 2.1, 0.1, 3.8, 2.5, 2.8, 3.1, 9.4, 0.6, 0.3, 1.8, 0.8
405, Jalen Pickett , DEN, 24, 25, 18, 7, 4.8, 0.4, 0.0, 0.3, 0.2, 1.6, 1.2, 1.2, 4.5, 0.0, 0.0, 0.5, 0.1
405, Nathan Mensah , CHA, 25, 25, 3, 22, 12.3, 0.2, 0.4, 0.0, 0.9, 4.3, 3.6, 4.2, 11.8, 0.6, 0.1, 2.6, 0.8
405, Zach LaVine , CHI, 29, 25, 10, 15, 34.9, 3.1, 1.5, 3.4, 6.5, 9.8, 11.2, 9.8, 30.7, 0.3, 0.8, 2.3, 2.8
408, Aleksej Pokusevski , CHA, 22, 24, 12, 12, 13.7, 0.5, 0.9, 1.1, 2.1, 5.2, 3.9, 4.1, 14.2, 0.4, 0.2, 0.7, 0.9
408, Collin Gillespie , DEN, 24, 24, 15, 9, 9.4, 0.5, 0.4, 0.4, 1.0, 2.8, 2.5, 1.9, 9.8, 0.0, 0.1, 1.0, 0.5
408, Derrick Rose , MEM, 35, 24, 6, 18, 16.6, 1.3, 0.5, 0.6, 4.0, 5.5, 5.8, 3.5, 16.3, 0.1, 0.6, 0.9, 1.3
408, Garrett Temple , TOR, 37, 24, 5, 19, 9.2, 0.7, 0.5, 0.9, 1.3, 4.4, 4.0, 3.6, 9.7, 0.1, 0.1, 1.0, 0.6
408, Stanley Umude , DET, 24, 24, 4, 20, 12.8, 0.7, 0.2, 1.0, 0.9, 5.8, 2.8, 4.3, 13.7, 0.3, 0.2, 1.7, 0.9
413, Isaiah Livers , DET, 25, 23, 1, 22, 20.4, 0.8, 0.3, 0.8, 1.3, 8.1, 6.8, 5.8, 24.5, 0.2, 0.3, 1.9, 0.7
413, Jamal Cain , MIA, 25, 23, 12, 11, 11.1, 0.7, 0.7, 0.4, 1.6, 4.4, 2.9, 3.0, 11.5, 0.2, 0.1, 0.9, 0.7
413, Leaky Black , CHA, 24, 23, 1, 22, 10.1, 0.3, 0.5, 0.8, 1.0, 3.5, 2.5, 3.2, 11.0, 0.3, 0.2, 0.7, 0.5
413, Luka Garza , MIN, 25, 23, 17, 6, 5.0, 0.5, 0.7, 0.2, 2.0, 1.8, 1.2, 1.8, 5.5, 0.0, 0.2, 1.0, 0.8
417, Admiral Schofield , ORL, 27, 22, 15, 7, 3.7, 0.1, 0.2, 0.0, 0.3, 2.2, 1.3, 1.5, 4.1, 0.0, 0.1, 0.4, 0.1
417, Harry Giles III , LAL, 25, 22, 10, 12, 4.5, 0.4, 0.4, 0.4, 1.6, 1.5, 1.5, 1.8, 4.7, 0.1, 0.1, 0.7, 0.5
417, LaMelo Ball , CHA, 22, 22, 7, 15, 32.3, 3.5, 2.6, 2.3, 9.9, 10.5, 8.6, 10.8, 36.0, 0.2, 0.6, 3.6, 4.1
417, Markieff Morris , DAL, 34, 22, 13, 9, 7.9, 0.2, 0.1, 0.1, 0.4, 2.8, 3.0, 3.5, 9.5, 0.0, 0.1, 0.5, 0.3
417, Saben Lee , PHX, 24, 22, 13, 9, 8.1, 0.5, 0.2, 0.8, 1.5, 3.5, 2.0, 2.5, 7.4, 0.1, 0.3, 0.6, 1.2
417, Tari Eason , HOU, 22, 22, 12, 10, 21.8, 2.3, 2.0, 2.2, 5.7, 6.4, 6.5, 3.9, 20.4, 0.9, 0.8, 2.3, 1.1
417, Wendell Moore Jr. , MIN, 22, 22, 17, 5, 3.0, 0.2, 0.0, 0.3, 0.6, 1.1, 0.8, 1.1, 3.4, 0.0, 0.0, 0.2, 0.0
424, Gui Santos , GSW, 21, 21, 15, 6, 7.9, 0.7, 0.9, 0.7, 1.2, 3.0, 2.0, 3.0, 8.2, 0.1, 0.2, 1.0, 0.5
424, Ibou Badji , POR, 21, 21, 5, 16, 10.3, 0.0, 0.8, 0.1, 1.0, 4.6, 3.6, 3.5, 9.9, 1.0, 0.1, 2.1, 0.6
424, Jalen Hood-Schifino , LAL, 20, 21, 10, 11, 5.2, 0.1, 0.0, 0.2, 0.4, 2.0, 1.6, 2.1, 4.7, 0.1, 0.2, 0.6, 0.5
424, Jerome Robinson , GSW, 27, 21, 16, 5, 3.6, 0.2, 0.2, 0.2, 0.7, 0.9, 0.4, 1.5, 3.3, 0.1, 0.0, 0.2, 0.3
424, Onuralp Bitim , CHI, 25, 21, 9, 12, 11.5, 0.6, 0.6, 0.7, 1.4, 4.5, 4.0, 3.0, 11.0, 0.1, 0.2, 1.0, 0.3
424, Trey Jemison , MEM, 24, 21, 5, 16, 20.7, 0.7, 2.5, 0.3, 5.6, 10.3, 4.6, 8.0, 21.2, 1.0, 0.6, 2.6, 1.3
430, Marcus Smart , MEM, 30, 20, 7, 13, 30.2, 2.3, 1.3, 1.5, 5.1, 10.9, 8.6, 9.8, 27.5, 0.3, 0.3, 2.7, 2.9
430, Moses Brown , POR, 24, 20, 4, 16, 8.5, 0.5, 0.7, 0.2, 2.6, 3.8, 1.4, 3.0, 8.7, 0.4, 0.5, 1.2, 1.1
430, Nate Williams , HOU, 25, 20, 9, 11, 5.4, 0.3, 0.5, 0.2, 2.0, 1.1, 1.6, 1.1, 5.6, 0.0, 0.3, 0.5, 0.4
430, Noah Clowney , BKN, 19, 20, 9, 11, 13.1, 0.4, 1.1, 0.4, 2.7, 5.0, 5.0, 4.5, 12.7, 0.4, 0.3, 1.1, 1.2
430, Ryan Arcidiacono , NYK, 30, 20, 15, 5, 2.3, 0.0, 0.0, 0.0, 0.0, 0.8, 0.7, 0.2, 2.2, 0.0, 0.0, 0.3, 0.1
435, Braxton Key , DEN, 27, 19, 13, 6, 3.1, 0.2, 0.0, 0.3, 0.4, 0.8, 0.7, 0.7, 2.8, 0.1, 0.1, 0.3, 0.2
435, Charles Bassey , SAS, 23, 19, 3, 16, 10.8, 0.0, 0.7, 0.2, 3.1, 4.7, 3.3, 5.1, 11.2, 0.9, 0.1, 1.6, 0.5
435, Devonte' Graham , SAS, 29, 19, 5, 14, 11.6, 1.3, 0.3, 1.5, 0.7, 3.1, 2.9, 3.2, 12.5, 0.1, 0.1, 0.6, 0.7
435, Mark Williams , CHA, 22, 19, 7, 12, 26.8, 1.6, 3.5, 0.8, 10.3, 9.4, 8.9, 8.9, 30.6, 1.1, 0.9, 2.6, 2.8
439, AJ Griffin , ATL, 20, 18, 8, 10, 7.4, 0.1, 0.0, 0.4, 0.3, 2.6, 1.6, 2.2, 8.8, 0.1, 0.1, 0.3, 0.1
439, Ashton Hagans , POR, 24, 18, 3, 15, 16.8, 0.6, 0.4, 0.2, 2.2, 6.6, 4.3, 4.6, 15.0, 0.5, 0.4, 2.2, 1.0
439, Chris Livingston , MIL, 20, 18, 11, 7, 4.1, 0.2, 0.1, 0.3, 0.8, 2.1, 1.3, 1.4, 3.6, 0.0, 0.2, 0.6, 0.1
439, Javon Freeman-Liberty , TOR, 24, 18, 3, 15, 16.5, 1.6, 0.8, 1.6, 3.8, 9.1, 5.9, 6.2, 18.3, 0.1, 0.7, 1.3, 1.2
439, Jay Huff , DEN, 26, 18, 14, 4, 2.6, 0.2, 0.1, 0.0, 0.7, 1.1, 0.7, 0.5, 3.2, 0.1, 0.0, 0.4, 0.1
439, Kenneth Lofton Jr. , UTA, 21, 18, 5, 13, 6.6, 0.4, 0.2, 0.1, 1.3, 2.2, 2.3, 1.8, 7.1, 0.2, 0.4, 0.8, 0.7
439, Taj Gibson , DET, 38, 18, 7, 11, 10.3, 0.2, 0.3, 0.0, 0.7, 2.7, 1.8, 3.1, 8.8, 0.3, 0.1, 1.7, 0.2
439, Vit Krejci , ATL, 23, 18, 9, 9, 24.8, 0.7, 0.9, 1.0, 1.7, 9.4, 6.6, 8.6, 27.6, 0.3, 0.2, 2.2, 0.6
447, DaQuan Jeffries , NYK, 26, 17, 11, 6, 2.7, 0.0, 0.0, 0.0, 0.4, 0.9, 0.8, 0.1, 1.8, 0.1, 0.1, 0.1, 0.1
447, Jules Bernard , WAS, 24, 17, 2, 15, 6.9, 0.4, 0.8, 0.3, 1.3, 2.6, 2.4, 1.9, 6.9, 0.1, 0.1, 0.7, 0.7
447, Scotty Pippen Jr. , MEM, 23, 17, 5, 12, 23.8, 1.3, 1.4, 2.6, 4.8, 10.6, 6.6, 9.8, 22.2, 0.5, 0.4, 2.7, 2.7
447, Theo Maledon , PHX, 22, 17, 5, 12, 12.5, 0.7, 0.4, 0.5, 1.8, 6.4, 3.0, 4.2, 12.0, 0.0, 0.4, 1.2, 1.2
447, Tosan Evbuomwan , DET, 23, 17, 1, 16, 21.6, 1.1, 0.4, 0.9, 2.8, 8.8, 6.1, 6.6, 24.9, 0.3, 0.3, 1.4, 1.1
