PLAYER, TEAM, AGE, HEIGHT, WEIGHT, COLLEGE, COUNTRY, DRAFT_YEAR, DRAFT_ROUND, DRAFT_NUMBER, GP, PTS, REB, AST, NETRTG, OREB%, DREB%, USG%, TS%, AST%
76, Brandon Miller , CHA, 21, 63, 15, 48, 31.9, 16.6, 6.3, 14.5, 43.4, 2.3, 6.3, 36.8, 1.8, 2.2, 80.4, 0.8, 3.4, 4.2, 2.4, 1.7, 0.9, 0.5, 2.5, 27.9, 1.0, 0.0, -6.8
77, Bogdan Bogdanovic , ATL, 31, 67, 30, 37, 29.6, 16.5, 5.9, 13.8, 42.3, 3.1, 8.2, 37.4, 1.7, 1.9, 91.1, 0.7, 2.7, 3.3, 3.0, 1.3, 1.2, 0.3, 2.3, 28.3, 0.0, 0.0, 2.1
78, Immanuel Quickley , TOR, 24, 62, 26, 36, 28.9, 16.4, 5.6, 13.0, 43.2, 2.5, 6.2, 39.6, 2.7, 3.3, 82.9, 0.2, 3.4, 3.6, 4.6, 1.4, 0.7, 0.1, 1.6, 28.8, 6.0, 0.0, -0.5
79, Bojan Bogdanovic , NYK, 34, 45, 12, 33, 28.4, 16.4, 5.8, 12.9, 44.7, 2.5, 6.4, 39.6, 2.3, 3.0, 78.9, 0.4, 2.6, 3.0, 2.0, 2.0, 0.6, 0.1, 1.9, 23.1, 1.0, 0.0, -7.1
80, Jonathan Kuminga , GSW, 21, 69, 35, 34, 26.3, 16.3, 6.2, 11.8, 52.8, 0.7, 2.3, 32.1, 3.1, 4.1, 74.1, 1.2, 3.5, 4.7, 2.1, 1.7, 0.7, 0.5, 2.3, 27.1, 4.0, 0.0, 1.6
81, Jarrett Allen , CLE, 25, 66, 41, 25, 31.6, 16.2, 6.5, 10.4, 62.5, 0.0, 0.1, 0.0, 3.2, 4.3, 74.4, 3.2, 7.5, 10.7, 2.7, 1.6, 0.7, 1.2, 2.0, 37.0, 35.0, 0.0, 3.0
82, Jalen Johnson , ATL, 22, 51, 25, 26, 34.0, 16.1, 6.4, 12.5, 51.3, 1.3, 3.6, 35.3, 2.0, 2.7, 72.5, 1.3, 7.3, 8.6, 3.5, 1.7, 1.1, 0.9, 2.5, 36.1, 18.0, 0.0, -1.4
83, Shaedon Sharpe , POR, 20, 32, 8, 24, 33.1, 15.9, 5.5, 13.6, 40.6, 1.9, 5.6, 33.3, 3.1, 3.7, 82.4, 1.3, 3.7, 5.0, 2.9, 2.3, 0.9, 0.4, 2.8, 27.8, 1.0, 0.0, -7.7
84, Austin Reaves , LAL, 25, 71, 39, 32, 31.8, 15.9, 5.5, 11.3, 49.1, 1.9, 5.0, 37.8, 3.0, 3.4, 86.1, 0.6, 3.5, 4.2, 5.5, 2.1, 0.8, 0.2, 1.8, 30.2, 6.0, 0.0, -0.9
85, Keldon Johnson , SAS, 24, 66, 15, 51, 29.5, 15.8, 5.8, 12.7, 45.4, 1.8, 5.4, 34.5, 2.5, 3.2, 78.5, 1.4, 4.1, 5.5, 2.8, 1.4, 0.7, 0.3, 2.2, 28.3, 9.0, 0.0, -5.5
86, Deandre Ayton , POR, 25, 47, 12, 35, 32.3, 15.8, 7.3, 12.6, 58.0, 0.0, 0.1, 33.3, 1.2, 1.5, 81.2, 3.2, 7.9, 11.1, 1.6, 1.8, 1.0, 0.8, 2.1, 35.0, 26.0, 0.0, -4.9
87, Malik Monk , SAC, 26, 69, 41, 28, 26.3, 15.8, 5.6, 12.6, 44.5, 2.1, 6.0, 35.7, 2.4, 2.9, 83.1, 0.4, 2.6, 2.9, 5.3, 2.1, 0.6, 0.6, 2.2, 28.6, 2.0, 0.0, 0.3
88, Malcolm Brogdon , POR, 31, 39, 15, 24, 28.7, 15.7, 5.6, 12.7, 44.0, 2.1, 5.1, 41.2, 2.4, 3.0, 81.9, 0.7, 3.1, 3.8, 5.5, 1.5, 0.7, 0.2, 1.5, 29.7, 4.0, 0.0, -2.1
89, Evan Mobley , CLE, 22, 39, 24, 15, 30.9, 15.6, 6.4, 11.1, 57.8, 0.3, 0.9, 35.1, 2.4, 3.4, 71.0, 2.4, 7.7, 10.1, 3.0, 1.9, 0.9, 1.5, 2.8, 37.4, 20.0, 0.0, 0.5
90, De'Andre Hunter , ATL, 26, 46, 21, 25, 28.5, 15.5, 5.2, 11.2, 46.7, 2.0, 5.0, 40.2, 3.0, 3.4, 86.7, 0.5, 3.0, 3.5, 1.4, 1.3, 0.8, 0.3, 2.6, 23.7, 1.0, 0.0, -0.5
91, Derrick White , BOS, 29, 66, 54, 12, 32.6, 15.4, 5.4, 11.7, 46.2, 2.7, 6.8, 39.5, 2.0, 2.2, 89.6, 0.7, 3.6, 4.3, 5.2, 1.6, 1.0, 1.3, 2.1, 33.7, 5.0, 1.0, 9.4
92, Jaden Ivey , DET, 22, 67, 12, 55, 28.6, 15.3, 5.4, 12.3, 43.9, 1.5, 4.6, 32.9, 3.0, 4.0, 75.6, 1.2, 2.3, 3.4, 3.7, 2.5, 0.7, 0.6, 2.8, 26.5, 1.0, 0.0, -4.4
93, Tim Hardaway Jr. , DAL, 32, 67, 40, 27, 27.6, 15.3, 5.2, 12.9, 40.5, 2.8, 7.9, 35.8, 2.0, 2.4, 85.4, 0.3, 3.0, 3.3, 1.7, 0.9, 0.5, 0.1, 1.4, 22.7, 0.0, 0.0, 0.4
94, Khris Middleton , MIL, 32, 46, 29, 17, 26.4, 15.0, 5.7, 11.6, 49.3, 1.7, 4.5, 38.0, 1.9, 2.3, 83.7, 0.7, 3.7, 4.4, 5.2, 2.2, 0.9, 0.3, 2.5, 29.5, 5.0, 1.0, 3.7
