IND, PLAYER, GP, W, L, MIN, EST._OFFRTG, EST._DEFRTG, EST._NETRTG, EST._AST_RATIO, EST._OREB%, EST._DREB%, EST._REB%, EST._TO_RATIO, EST._USG%, EST._PACE
139, P.J. Washington, 56, 16, 40, 30, 111.2, 118.2, -6.9, 13.0, 4.4, 15.8, 9.8, 9.3, 19.7, 101.76,
139, Dorian Finney-Smith, 56, 23, 33, 28, 111.8, 111.8, 0.0, 15.1, 6.2, 11.9, 9.0, 8.5, 13.7, 99.10,
148, De'Aaron Fox, 55, 32, 23, 36, 115.9, 115.2, 0.8, 17.4, 2.8, 10.8, 6.7, 8.2, 30.9, 103.44,
148, David Roddy, 55, 18, 37, 21, 103.1, 113.2, -10.1, 13.6, 4.8, 15.2, 9.8, 9.9, 18.1, 101.76,
148, Jaxson Hayes, 55, 31, 24, 12, 111.1, 113.9, -2.8, 11.8, 9.1, 15.0, 12.3, 13.8, 12.5, 101.67,
148, Brandin Podziemski, 55, 28, 27, 27, 117.5, 111.6, 6.0, 27.7, 6.4, 16.5, 11.6, 8.8, 16.0, 101.52,
148, Dillon Brooks, 55, 25, 30, 31, 110.2, 111.0, -0.7, 11.4, 2.7, 9.4, 6.1, 8.6, 17.7, 101.45,
148, Alec Burks, 55, 11, 44, 20, 108.1, 119.2, -11.0, 11.1, 2.1, 11.5, 6.6, 6.1, 24.1, 101.40,
148, Jordan Hawkins, 55, 33, 22, 20, 113.0, 114.1, -1.1, 11.5, 2.8, 11.5, 7.1, 6.7, 19.7, 101.11,
148, Tyrese Maxey, 55, 35, 20, 37, 117.1, 113.4, 3.7, 20.5, 1.7, 9.5, 5.6, 5.6, 27.8, 100.79,
148, Isaac Okoro, 55, 35, 20, 27, 113.2, 107.8, 5.3, 18.8, 4.2, 8.5, 6.4, 7.2, 14.3, 99.70,
148, Alex Caruso, 55, 27, 28, 28, 110.6, 108.1, 2.5, 24.2, 3.6, 11.6, 7.5, 10.9, 14.8, 99.60,
148, Nic Claxton, 55, 21, 34, 30, 108.1, 113.5, -5.4, 15.8, 9.3, 27.5, 18.0, 9.4, 16.2, 99.42,
148, Jaden McDaniels, 55, 36, 19, 29, 113.7, 108.3, 5.4, 12.3, 3.3, 8.0, 5.8, 10.4, 15.7, 98.71,
160, T.J. McConnell, 54, 29, 25, 18, 115.8, 114.5, 1.3, 37.2, 3.6, 14.7, 9.1, 10.1, 21.9, 104.33,
160, Marcus Sasser, 54, 8, 46, 16, 110.6, 118.2, -7.6, 28.4, 0.9, 10.5, 5.5, 9.7, 19.5, 103.09,
160, Andrew Wiggins, 54, 26, 28, 27, 114.1, 116.9, -2.8, 11.9, 6.2, 10.8, 8.5, 8.2, 20.2, 102.46,
160, Jae'Sean Tate, 54, 23, 31, 17, 110.5, 105.4, 5.1, 19.2, 6.2, 14.6, 10.3, 9.4, 11.3, 101.80,
160, Josh Okogie, 54, 33, 21, 17, 112.5, 110.6, 1.9, 18.3, 9.1, 9.2, 9.1, 9.8, 12.7, 101.43,
160, Malachi Flynn, 54, 26, 28, 11, 105.7, 112.4, -6.8, 26.2, 2.2, 12.5, 7.1, 12.3, 17.5, 100.64,
160, Dean Wade, 54, 36, 18, 21, 113.0, 102.2, 10.8, 14.0, 3.7, 17.8, 10.8, 6.5, 10.4, 100.07,
160, Nick Richards, 54, 11, 43, 26, 104.8, 117.5, -12.7, 9.0, 11.4, 23.6, 17.4, 12.5, 13.5, 99.16,
160, Bam Adebayo, 54, 30, 24, 35, 109.8, 109.4, 0.4, 16.6, 7.4, 26.6, 16.9, 10.0, 25.9, 98.60,
169, Onyeka Okongwu, 53, 23, 30, 26, 117.2, 117.6, -0.3, 13.7, 11.3, 18.9, 15.0, 8.7, 13.6, 104.20,
169, Jordan Clarkson, 53, 22, 31, 31, 112.8, 118.9, -6.1, 20.8, 3.4, 9.4, 6.4, 10.9, 26.2, 102.18,
169, Zion Williamson, 53, 32, 21, 31, 114.5, 111.3, 3.2, 20.2, 6.4, 13.8, 10.1, 9.8, 28.4, 102.16,
169, Cade Cunningham, 53, 6, 47, 34, 108.6, 117.6, -8.9, 24.0, 1.7, 12.5, 7.1, 11.2, 29.7, 102.11,
169, Eric Gordon, 53, 31, 22, 30, 115.6, 112.3, 3.3, 16.1, 1.2, 6.4, 4.0, 8.8, 17.0, 101.60,
169, Davion Mitchell, 53, 31, 22, 14, 108.5, 115.5, -7.0, 27.2, 1.4, 7.6, 4.4, 9.1, 14.7, 100.42,
169, Jerami Grant, 53, 17, 36, 34, 106.1, 115.1, -9.0, 12.1, 2.2, 10.1, 6.0, 9.2, 26.2, 100.24,
169, Miles Bridges, 53, 13, 40, 37, 106.8, 117.7, -11.0, 13.4, 2.8, 20.4, 11.2, 8.3, 24.9, 99.98,
169, Al Horford, 53, 41, 12, 27, 119.1, 107.9, 11.2, 27.3, 5.5, 20.9, 13.6, 7.2, 11.6, 99.72,
169, Santi Aldama, 53, 20, 33, 26, 103.7, 112.5, -8.8, 16.8, 4.9, 19.6, 11.9, 9.0, 18.8, 99.27,
179, Tyrese Haliburton, 52, 29, 23, 32, 119.9, 116.0, 3.9, 36.8, 2.0, 11.2, 6.6, 7.7, 25.0, 105.89,
179, Bruce Brown, 52, 25, 27, 28, 117.1, 118.2, -1.1, 20.1, 3.4, 14.6, 9.0, 8.3, 16.1, 104.84,
179, Doug McDermott, 52, 14, 38, 15, 108.5, 120.0, -11.5, 18.3, 1.3, 6.0, 3.6, 7.5, 14.9, 104.04,
179, Zach Collins, 52, 11, 41, 23, 105.2, 117.3, -12.1, 19.7, 7.8, 16.8, 12.2, 13.0, 22.0, 103.64,
