IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO, OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
433, Luka Garza , MIN, 25, 16, 12, 4, 3.9, 0.3, 0.6, 0.1, 1.4, 1.3, 0.9, 1.3, 4.9, 0.0, 0.3, 1.0, 0.8
433, Robin Lopez , MIL, 35, 16, 10, 6, 4.0, 0.0, 0.0, 0.0, 0.6, 1.6, 1.9, 1.3, 3.6, 0.2, 0.1, 0.4, 0.3
433, Taj Gibson , DET, 38, 16, 7, 9, 10.3, 0.0, 0.4, 0.0, 0.6, 2.7, 1.9, 3.1, 9.0, 0.4, 0.1, 1.8, 0.2
439, Aleksej Pokusevski , CHA, 22, 15, 10, 5, 9.5, 0.3, 0.5, 0.5, 1.3, 3.6, 2.3, 3.5, 8.8, 0.4, 0.1, 0.7, 0.3
439, Ben Simmons , BKN, 27, 15, 7, 8, 23.9, 1.7, 1.4, 1.2, 5.7, 8.1, 5.7, 8.3, 25.5, 0.6, 0.2, 2.4, 1.4
439, Otto Porter Jr. , TOR, 30, 15, 6, 9, 11.6, 0.0, 0.0, 0.1, 0.5, 3.9, 3.2, 3.3, 10.9, 0.3, 0.1, 1.3, 0.1
439, Trey Jemison , MEM, 24, 15, 3, 12, 19.4, 0.7, 2.5, 0.3, 5.6, 9.1, 4.0, 7.0, 20.5, 1.0, 0.6, 2.9, 1.2
443, Devonte' Graham , SAS, 29, 14, 4, 10, 8.2, 1.0, 0.1, 1.0, 0.4, 1.2, 2.4, 2.6, 8.4, 0.1, 0.1, 0.4, 0.4
443, James Bouknight , CHA, 23, 14, 0, 14, 5.8, 0.4, 0.3, 0.6, 0.7, 2.1, 1.9, 1.3, 5.7, 0.1, 0.1, 0.2, 0.2
443, Jay Huff , DEN, 26, 14, 11, 3, 2.6, 0.2, 0.1, 0.0, 0.6, 1.1, 0.9, 0.3, 3.4, 0.0, 0.0, 0.5, 0.1
443, Jett Howard , ORL, 20, 14, 7, 7, 3.7, 0.4, 0.1, 0.1, 0.4, 1.7, 1.0, 1.1, 4.0, 0.1, 0.0, 0.2, 0.1
443, Moses Brown , POR, 24, 14, 4, 10, 8.3, 0.6, 0.6, 0.3, 2.3, 4.2, 1.3, 3.4, 8.7, 0.3, 0.6, 1.1, 0.8
443, Nate Williams , HOU, 25, 14, 6, 8, 5.8, 0.1, 0.4, 0.1, 1.9, 1.1, 1.9, 1.3, 6.0, 0.0, 0.4, 0.6, 0.4
443, Olivier Sarr , OKC, 25, 14, 7, 7, 6.8, 0.5, 0.8, 0.0, 1.3, 3.6, 1.8, 2.2, 4.9, 0.5, 0.0, 1.3, 0.7
443, Udoka Azubuike , PHX, 24, 14, 10, 4, 7.7, 0.2, 0.7, 0.1, 2.3, 4.3, 3.1, 2.0, 7.1, 0.4, 0.2, 1.2, 0.6
